FID,obj_id,Free_speed
318,263772,43.6 
319,263773,42.2 
320,263774,40.0 
321,263775,37.1 
322,263776,47.4 
323,263777,45.3 
324,263778,45.0 
325,263779,41.6 
326,263780,42.6 
327,263781,42.2 
328,263782,44.1 
329,263783,44.2 
330,263784,46.1 
331,263785,47.2 
332,263786,54.7 
333,263787,56.0 
334,263788,45.0 
335,263789,44.7 
336,263790,43.0 
337,263791,42.4 
338,263794,42.2 
339,263795,40.4 
340,263796,40.1 
341,263797,43.1 
342,263798,41.9 
343,263799,40.8 
344,263800,45.1 
345,263801,45.0 
346,263802,44.3 
347,263803,44.4 
348,263804,42.7 
349,263805,43.7 
350,263806,42.9 
351,263807,43.4 
352,263808,49.2 
353,263809,47.8 
354,263812,44.6 
355,263813,47.1 
356,263814,41.1 
357,263815,41.5 
358,263818,51.1 
359,263819,49.2 
360,263820,50.2 
361,263821,53.4 
362,263822,46.6 
363,263823,48.1 
364,263824,42.0 
365,263825,43.1 
366,263826,43.0 
367,263827,40.2 
368,263828,57.1 
369,263829,55.3 
370,263830,47.6 
371,263831,48.7 
372,263832,38.8 
373,263833,37.1 
374,263834,55.3 
375,263835,54.8 
376,263838,45.3 
377,263839,44.7 
378,263840,44.8 
379,263841,42.8 
380,263844,65.0 
381,263845,64.5 
382,263846,54.7 
383,263847,55.4 
384,263848,74.7 
385,263849,72.5 
386,263850,41.9 
387,263851,43.2 
388,263852,41.8 
389,263853,40.7 
390,263854,69.7 
391,263855,69.7 
392,263856,47.8 
393,263857,44.1 
394,263860,51.0 
395,263861,52.1 
396,263862,50.5 
397,263863,50.1 
398,263864,37.8 
399,263865,37.8 
400,263866,45.3 
401,263867,46.7 
402,263868,49.8 
403,263869,48.0 
404,263870,57.5 
405,263871,56.5 
406,263878,49.8 
407,263879,49.7 
408,263880,46.7 
409,263881,46.5 
410,263882,48.9 
411,263883,48.3 
412,263884,43.3 
413,263885,43.2 
414,263886,43.7 
415,263887,45.3 
416,263890,44.0 
417,263891,43.7 
418,263892,48.4 
419,263893,46.6 
420,263894,42.5 
421,263895,42.7 
422,263896,39.0 
423,263897,38.5 
424,263898,40.2 
425,263899,39.5 
426,263900,43.9 
427,263902,33.2 
428,263903,31.6 
429,263904,44.5 
430,263905,45.3 
431,263906,52.5 
432,263907,52.6 
433,263910,47.5 
434,263911,47.5 
435,263912,45.5 
436,263913,44.2 
437,263914,63.8 
438,263915,63.7 
439,263916,49.3 
440,263917,44.6 
441,263918,40.8 
442,263919,36.2 
443,263920,38.3 
444,263921,40.8 
445,263922,39.3 
446,263923,46.6 
447,263924,78.2 
448,263925,74.8 
449,263926,31.7 
450,263927,31.7 
451,263928,46.3 
452,263929,45.7 
453,263930,37.5 
454,263931,37.6 
455,263932,47.8 
456,263933,45.1 
457,263934,48.2 
458,263935,46.0 
459,263936,40.1 
460,263937,39.2 
461,263938,40.8 
462,263939,40.3 
463,263940,43.9 
464,263941,35.1 
465,263942,35.2 
466,263945,38.9 
467,263946,39.0 
468,263947,46.0 
469,263948,44.3 
470,263951,39.3 
471,263952,38.6 
472,263953,49.3 
473,263954,38.2 
474,263955,40.8 
475,263956,40.6 
476,263957,43.8 
477,263958,39.9 
478,263959,42.3 
479,263960,43.7 
480,263961,43.6 
481,263962,44.4 
482,263963,43.2 
483,263964,43.1 
484,263965,38.0 
485,263966,38.4 
486,263967,37.4 
487,263968,38.5 
488,263969,39.8 
489,263970,42.3 
490,263971,39.3 
491,263972,39.7 
492,263973,42.0 
493,263974,43.9 
494,263975,35.1 
495,263976,38.3 
496,263977,40.3 
497,263978,39.0 
498,263979,42.2 
499,263980,43.8 
